project_id,program_id,name,owner,status,budget,actual_spend,start_date,target_end_date,actual_end_date
PRJ-1001,PGM-001,Unified Customer Profile Service,Alicia Chen,IN_PROGRESS,650000,520000,2025-02-01,2026-09-30,
PRJ-1002,PGM-001,CRM Data Quality Remediation,Marcus Bell,IN_PROGRESS,420000,475000,2025-03-15,2026-04-30,
PRJ-1003,PGM-001,Marketing Attribution Pipeline,Sofia Reyes,AT_RISK,380000,410000,2025-04-01,2026-03-15,
PRJ-1004,PGM-001,Customer Sentiment Dashboard,Daniel Kim,COMPLETED,210000,198000,2025-02-10,2025-11-30,2025-12-12
PRJ-1005,PGM-001,Loyalty Program Re-platform,Hannah Liu,IN_PROGRESS,540000,330000,2025-05-01,2026-08-31,
PRJ-2001,PGM-002,AWS Landing Zone Buildout,Tomas Vega,COMPLETED,820000,805000,2025-03-15,2025-10-31,2025-11-04
PRJ-2002,PGM-002,Legacy ERP Lift-and-Shift,Renata Ostrowski,IN_PROGRESS,1450000,1620000,2025-04-01,2026-10-31,
PRJ-2003,PGM-002,Container Platform Standardization,Ibrahim Hassan,IN_PROGRESS,690000,540000,2025-05-15,2026-09-30,
PRJ-2004,PGM-002,Data Warehouse Modernization,Lila Park,AT_RISK,1100000,1010000,2025-04-15,2026-08-31,
PRJ-2005,PGM-002,Network Segmentation Upgrade,Sven Halvorsen,IN_PROGRESS,560000,310000,2025-06-01,2026-10-31,
PRJ-3001,PGM-003,SOX Controls Automation,Maya Patel,IN_PROGRESS,480000,360000,2025-03-01,2026-07-31,
PRJ-3002,PGM-003,GDPR Data Subject Request Tooling,Owen Friedrich,IN_PROGRESS,360000,395000,2025-04-10,2026-04-30,
PRJ-3003,PGM-003,Audit Log Centralization,Nina Adebayo,COMPLETED,260000,245000,2025-03-01,2025-12-15,2025-12-20
PRJ-3004,PGM-003,Sanctions Screening Refresh,Felix Nakamura,IN_PROGRESS,420000,455000,2025-05-01,2026-08-15,
PRJ-4001,PGM-004,Intranet Search Overhaul,Bea Dempsey,IN_PROGRESS,310000,180000,2025-05-15,2026-09-15,
PRJ-4002,PGM-004,Virtual Assistant Pilot,Roman Caldera,IN_PROGRESS,490000,420000,2025-06-01,2026-08-30,
PRJ-4003,PGM-004,Self-Service Onboarding Hub,Eleanor Pike,IN_PROGRESS,380000,290000,2025-05-01,2026-10-15,
PRJ-4004,PGM-004,Performance Review Workflow,Quinn Reyes,AT_RISK,330000,340000,2025-06-15,2026-04-15,
PRJ-9999,PGM-999,Orphan Project No Program,Ghost Owner,IN_PROGRESS,100000,0,2025-07-01,2026-07-01,
PRJ-BAD1,PGM-001,Bad Budget Row,Test,IN_PROGRESS,not-a-number,0,2025-07-01,2026-07-01,
