milestone_id,project_id,name,status,planned_date,actual_date
MS-10010,PRJ-1001,API Contract Signoff,COMPLETED,2025-04-30,2025-05-04
MS-10011,PRJ-1001,Identity Resolution MVP,COMPLETED,2025-08-15,2025-08-29
MS-10012,PRJ-1001,Production Rollout Wave 1,IN_PROGRESS,2026-01-15,
MS-10020,PRJ-1002,Data Profiling Complete,COMPLETED,2025-05-01,2025-05-21
MS-10021,PRJ-1002,Rule Engine Live,IN_PROGRESS,2025-12-15,
MS-10030,PRJ-1003,Source Inventory Locked,COMPLETED,2025-05-31,2025-06-09
MS-10031,PRJ-1003,Pilot Campaign Reporting,AT_RISK,2025-10-31,
MS-10040,PRJ-1004,UAT Signoff,COMPLETED,2025-10-31,2025-11-12
MS-10041,PRJ-1004,Go-Live,COMPLETED,2025-11-30,2025-12-12
MS-10050,PRJ-1005,Vendor Selected,COMPLETED,2025-07-15,2025-07-22
MS-10051,PRJ-1005,Migration Dry Run,IN_PROGRESS,2026-02-28,
MS-20010,PRJ-2001,Landing Zone Cutover,COMPLETED,2025-09-30,2025-10-08
MS-20020,PRJ-2002,App Inventory Frozen,COMPLETED,2025-06-15,2025-06-29
MS-20021,PRJ-2002,Wave 1 Cutover,AT_RISK,2025-11-30,
MS-20022,PRJ-2002,Wave 2 Cutover,IN_PROGRESS,2026-04-30,
MS-20030,PRJ-2003,Cluster Hardening Complete,COMPLETED,2025-09-15,2025-09-25
MS-20031,PRJ-2003,Tenant Onboarding Playbook,IN_PROGRESS,2026-01-31,
MS-20040,PRJ-2004,Schema Migration Plan Approved,COMPLETED,2025-07-31,2025-08-11
MS-20041,PRJ-2004,Historical Load Reconciled,AT_RISK,2025-12-31,
MS-20050,PRJ-2005,Segmentation Design Approved,COMPLETED,2025-09-01,2025-09-14
MS-20051,PRJ-2005,Phase 1 Enforcement Active,IN_PROGRESS,2026-03-31,
MS-30010,PRJ-3001,Control Library Mapped,COMPLETED,2025-06-30,2025-07-08
MS-30011,PRJ-3001,Automated Evidence Pilot,IN_PROGRESS,2025-12-15,
MS-30020,PRJ-3002,DSR Workflow Live,IN_PROGRESS,2026-01-31,
MS-30030,PRJ-3003,SIEM Onboarded,COMPLETED,2025-09-30,2025-10-14
MS-30031,PRJ-3003,Retention Policies Enforced,COMPLETED,2025-11-30,2025-12-08
MS-30040,PRJ-3004,Watchlist Refresh Cadence Live,IN_PROGRESS,2025-12-15,
MS-40010,PRJ-4001,Search Index Rebuild,COMPLETED,2025-08-31,2025-09-15
MS-40011,PRJ-4001,Personalization Beta,IN_PROGRESS,2026-02-28,
MS-40020,PRJ-4002,Intent Model Trained,COMPLETED,2025-09-30,2025-10-12
MS-40021,PRJ-4002,Pilot Cohort Onboarded,IN_PROGRESS,2026-02-15,
MS-40030,PRJ-4003,Onboarding Flow MVP,COMPLETED,2025-09-15,2025-09-26
MS-40031,PRJ-4003,Manager Self-Service Live,IN_PROGRESS,2026-03-31,
MS-40040,PRJ-4004,Review Template Library Approved,COMPLETED,2025-09-30,2025-10-21
MS-40041,PRJ-4004,Cycle Automation Live,AT_RISK,2026-01-31,
MS-BAD1,PRJ-NOT-REAL,Milestone Without Project,IN_PROGRESS,2026-01-01,
